Year,Mine Name,Mine State,Mine Type,Production (short tons),Average Employees,Labor Hours
2021,John Poe Mine,Alabama,Surface,"6,487",2,820
2021,Flat Top Mine,Alabama,Surface,"2,03,190",42,"1,17,312"
2021,Oak Grove Mine,Alabama,Underground,"20,20,277",461,"11,00,028"
2021,No 7 Mine,Alabama,Underground,"47,93,699",514,"15,02,426"
2021,Narley Mine,Alabama,Surface,130,3,"2,757"
2021,Maxine-Pratt Mine,Alabama,Underground,"96,907",27,"53,479"
2021,Black Warrior Mine No 1,Alabama,Surface,"1,56,423",50,"1,23,270"
2021,Weller Mine,Alabama,Surface,"11,795",7,"13,228"
2021,Shannon Mine No. 3,Alabama,Surface,"2,61,572",46,"85,097"
2021,Sloan Mtn. No. 3,Alabama,Surface,"1,69,982",44,"1,14,893"
2021,Auger A-1,Alabama,Surface,"11,600",2,"4,180"
2021,No 4 Mine,Alabama,Underground,"8,10,883",148,"4,22,379"
2021,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Surface,"1,15,337",30,"72,303"
2021,Swann's Crossing,Alabama,Surface,"1,42,333",30,"72,095"
2021,Deerlick West Mine,Alabama,Surface,"52,438",16,"39,250"
2021,Choctaw Mine,Alabama,Surface,"1,68,957",48,"1,28,085"
2021,Shoal Creek Mine,Alabama,Underground,"1,17,126",123,"2,85,847"
2021,Carbon Hill Mine,Alabama,Underground,"1,20,020",26,"65,002"
2021,Stave Hollow Mine,Alabama,Surface,"7,239",5,"3,488"
2021,Shm 06 Highwall Miner,Alabama,Surface,"72,072",7,"15,129"
2021,Usibelli,Alaska,Surface,"10,42,288",103,"1,95,487"
2021,West Elk Mine,Colorado,Underground,"32,72,864",254,"5,20,809"
2021,King Ii,Colorado,Underground,"4,66,410",71,"1,38,863"
2021,Mi Vida Portals,Colorado,Underground,"1,10,432",53,"98,782"
2021,Trapper Mine,Colorado,Surface,"15,24,454",126,"2,49,344"
2021,Colowyo Mine,Colorado,Surface,"20,65,294",204,"3,95,970"
2021,Addcar System 16,Colorado,Surface,"11,55,039",17,"62,132"
2021,Deserado Mine,Colorado,Underground,"15,41,218",178,"3,90,858"
2021,Foidel Creek Mine,Colorado,Underground,"17,39,081",138,"2,82,549"
2021,Mc#1 Mine,Illinois,Underground,"78,60,150",327,"7,38,790"
2021,Mine No. 1,Illinois,Underground,"49,38,788",206,"5,50,539"
2021,Deer Run Mine,Illinois,Underground,"31,93,513",138,"2,79,884"
2021,Red Hawk,Illinois,Surface,"34,170",4,"5,885"
2021,Prairie Eagle-Underground,Illinois,Underground,"41,14,075",267,"5,35,070"
2021,Golden Eagle Mine,Illinois,Surface,"3,39,836",22,"41,559"
2021,Hawkeye Mine,Illinois,Surface,"7,212",4,"7,509"
2021,Gateway North Mine,Illinois,Underground,"17,28,891",143,"2,68,069"
2021,Viper Mine,Illinois,Underground,"10,12,847",154,"2,85,281"
2021,Friendsville Mine,Illinois,Surface,"34,972",3,"3,238"
2021,Lively Grove Mine,Illinois,Underground,"66,36,062",397,"8,91,089"
2021,Mach #1 Mine,Illinois,Underground,"67,13,341",228,"5,00,139"
2021,Ace In The Hole,Indiana,Surface,"1,35,037",27,"51,479"
2021,Craney Mine,Indiana,Surface,"9,592",3,"2,382"
2021,Antioch Mine,Indiana,Surface,"52,998",13,"25,314"
2021,Shamrock Mine,Indiana,Surface,"7,741",6,"7,982"
2021,Somerville Central Mine,Indiana,Surface,"12,604",5,"8,532"
2021,Francisco Underground Pit,Indiana,Underground,"14,85,344",170,"3,71,649"
2021,Gibson South,Indiana,Underground,"32,90,186",229,"6,20,985"
2021,Oaktown Fuels Mine No. 1,Indiana,Underground,"34,88,773",328,"7,31,822"
2021,Oaktown Fuels Mine No. 2,Indiana,Underground,"21,47,021",274,"6,25,690"
2021,Charger Mine East,Indiana,Surface,"12,518",3,"6,109"
2021,Bear Run Mine,Indiana,Surface,"60,39,988",459,"10,34,153"
2021,Wild Boar Mine,Indiana,Surface,"23,40,211",185,"3,44,215"
2021,Addcar Systems 03,Indiana,Surface,"4,48,423",13,"34,415"
2021,Hartridge Surface Mine,Kentucky (East),Surface,"11,952",11,"22,274"
2021,Chm -102,Kentucky (East),Surface,"26,769",3,"5,810"
2021,Shm 1,Kentucky (East),Surface,"1,62,915",7,"18,241"
2021,Mine #3,Kentucky (East),Surface,"1,09,701",38,"85,957"
2021,Four Mile,Kentucky (East),Surface,"1,46,562",20,"68,830"
2021,Straight Creek  Mine,Kentucky (East),Underground,"99,540",49,"85,391"
2021,K-Island Mine #1,Kentucky (East),Surface,"70,937",12,"30,715"
2021,Colmar,Kentucky (East),Surface,"56,284",19,"29,707"
2021,Insull Ridge,Kentucky (East),Surface,"38,230",14,"23,635"
2021,Right Fork Mine,Kentucky (East),Surface,"28,878",11,"28,552"
2021,Sturgeon Freeman Fork,Kentucky (East),Surface,"19,087",5,"10,515"
2021,Joe's Run,Kentucky (West),Surface,"2,32,710",23,"57,556"
2021,Joes Run Auger No. 26,Kentucky (West),Surface,"4,993",4,"4,854"
2021,No. 1,Kentucky (East),Underground,"46,529",15,"27,585"
