Year,Mine Name,Mine Status,Mine Type,Production (short tons),Average Employees,Labor Hours
2021,Dodge Mine,Active,Surface,0,4,"8,183"
2021,John Poe Mine,Active,Surface,"6,487",2,820
2021,Oak Grove Preparation Plant,Active,Underground,0,53,"1,16,182"
2021,Flat Top Mine,Active,Surface,"2,03,190",42,"1,17,312"
2021,Oak Grove Mine,Active,Underground,"20,20,277",461,"11,00,028"
2021,No 7 Mine,Active,Underground,"47,93,699",514,"15,02,426"
2021,Pratt No. 1 Mine,Active,Surface,0,10,"25,789"
2021,Narley Mine,Active,Surface,130,3,"2,757"
2021,Maxine-Pratt Mine,Active,Underground,"96,907",27,"53,479"
2021,Black Warrior Mine No 1,Active,Surface,"1,56,423",50,"1,23,270"
2021,Weller Mine,Active,Surface,"11,795",7,"13,228"
2021,Shannon Mine No. 3,Active,Surface,"2,61,572",46,"85,097"
2021,Sloan Mtn. No. 3,Active,Surface,"1,69,982",44,"1,14,893"
2021,Auger A-1,Active,Surface,"11,600",2,"4,180"
2021,Calera,Active,Surface,0,0,978
2021,Calera,Active,Underground,0,9,"18,590"
2021,No 4 Mine,Active,Underground,"8,10,883",148,"4,22,379"
2021,"Searles Mine No. 2, 3, 4, 5, 6",Active,Surface,"1,15,337",30,"72,303"
2021,Swann's Crossing,Active,Surface,"1,42,333",30,"72,095"
2021,Deerlick West Mine,Active,Surface,"52,438",16,"39,250"
2021,Choctaw Mine,Active,Surface,"1,68,957",48,"1,28,085"
2021,Shoal Creek Mine,Active,Underground,"1,17,126",123,"2,85,847"
2021,Corinth Prep Plant,Active,Underground,0,12,"30,696"
2021,Carbon Hill Mine,Active,Underground,"1,20,020",26,"65,002"
2021,Carbon Hill Prep Plant,Active,Underground,0,12,"28,030"
2021,Stave Hollow Mine,"Active, men working, not producing",Surface,"7,239",5,"3,488"
2021,Shm 06 Highwall Miner,Active,Surface,"72,072",7,"15,129"
2021,Usibelli,Active,Surface,"10,42,288",103,"1,95,487"
2021,West Elk Mine,Active,Underground,"32,72,864",254,"5,20,809"
2021,King Ii,Active,Underground,"4,66,410",71,"1,38,863"
2021,New Elk Prep Plant,Active,Underground,0,27,"46,106"
2021,Mi Vida Portals,Active,Underground,"1,10,432",53,"98,782"
2021,Trapper Mine,Active,Surface,"15,24,454",126,"2,49,344"
2021,Colowyo Mine,Active,Surface,"20,65,294",204,"3,95,970"
2021,Addcar System 16,"Active, men working, not producing",Surface,"11,55,039",17,"62,132"
2021,Deserado Mine,Active,Underground,"15,41,218",178,"3,90,858"
2021,Foidel Creek Mine,Active,Underground,"17,39,081",138,"2,82,549"
2021,Mc#1 Mine,Active,Underground,"78,60,150",327,"7,38,790"
2021,Mine No. 1,Active,Underground,"49,38,788",206,"5,50,539"
2021,Hamilton County Coal Processin,Active,Underground,0,31,"79,615"
2021,Deer Run Mine,Active,Underground,"31,93,513",138,"2,79,884"
2021,Red Hawk,"Active, men working, not producing",Surface,"34,170",4,"5,885"
2021,Prairie Eagle,Active,Surface,0,1,"1,523"
2021,Prairie Eagle,Active,Underground,0,34,"74,620"
2021,Prairie Eagle-Underground,Active,Underground,"41,14,075",267,"5,35,070"
2021,Golden Eagle Mine,Active,Surface,"3,39,836",22,"41,559"
2021,Preparation Plant,Active,Underground,0,27,"54,370"
2021,Hawkeye Mine,Active,Surface,"7,212",4,"7,509"
2021,Gateway North Mine,Active,Underground,"17,28,891",143,"2,68,069"
2021,Watco Transloading/ Cahokia Te,Active,Surface,0,14,"25,392"
2021,Watco Transloading/ Cahokia Te,Active,Underground,0,13,"25,392"
2021,Viper Mine,Active,Underground,"10,12,847",154,"2,85,281"
2021,Friendsville Mine,Active,Surface,"34,972",3,"3,238"
2021,Friendsville Prep Plant,Active,Surface,0,4,"11,754"
2021,Lively Grove Mine,Active,Underground,"66,36,062",397,"8,91,089"
2021,Mach #1 Mine,Active,Underground,"67,13,341",228,"5,00,139"
2021,Ace In The Hole,Active,Surface,"1,35,037",27,"51,479"
2021,Craney Mine,"Active, men working, not producing",Surface,"9,592",3,"2,382"
2021,Antioch Mine,Active,Surface,"52,998",13,"25,314"
2021,Shamrock Mine,"Active, men working, not producing",Surface,"7,741",6,"7,982"
2021,Francisco Mine,Active,Underground,0,23,"41,654"
2021,Somerville Central Mine,Active,Surface,"12,604",5,"8,532"
2021,Francisco Underground Pit,Active,Underground,"14,85,344",170,"3,71,649"
2021,Gibson South,Active,Underground,"32,90,186",229,"6,20,985"
2021,Oaktown Fuels Mine No. 1,Active,Underground,"34,88,773",328,"7,31,822"
2021,Oaktown Fuels Mine No. 2,Active,Underground,"21,47,021",274,"6,25,690"
2021,Oaktown Fuels Preparation Plan,Active,Underground,0,68,"1,29,084"
2021,Charger Mine East,Active,Surface,"12,518",3,"6,109"
2021,Bear Run Mine,Active,Surface,"60,39,988",459,"10,34,153"
2021,Wild Boar Mine,Active,Surface,"23,40,211",185,"3,44,215"
2021,Addcar Systems 03,"Active, men working, not producing",Surface,"4,48,423",13,"34,415"
2021,Hartridge Surface Mine,Active,Surface,"11,952",11,"22,274"
2021,Tipple #3,Active,Surface,0,6,"12,539"
2021,Tipple #3,Active,Underground,0,5,"12,539"
2021,Middlesboro Tipple,Active,Surface,0,10,"20,503"
2021,Middlesboro Tipple,Active,Underground,0,1,"2,278"
2021,Crockett,Active,Underground,0,16,"29,722"
2021,Chm -102,Active,Surface,"26,769",3,"5,810"
2021,Shm 1,Active,Surface,"1,62,915",7,"18,241"
2021,Balkan,Active,Surface,0,43,"68,241"
2021,Mine #3,Active,Surface,"1,09,701",38,"85,957"
2021,Four Mile,Active,Surface,"1,46,562",20,"68,830"
2021,Straight Creek  Mine,Active,Underground,"99,540",49,"85,391"
2021,K-Island Mine #1,Active,Surface,"70,937",12,"30,715"
2021,Colmar,Active,Surface,"56,284",19,"29,707"
2021,Insull Ridge,Permanently abandoned,Surface,"38,230",14,"23,635"
2021,Right Fork Mine,Permanently abandoned,Surface,"28,878",11,"28,552"
2021,Riverway Terminals,Active,Surface,0,2,"2,952"
2021,Riverway Terminals,Active,Underground,0,2,"2,951"
2021,Kentucky Coal Terminal,Active,Surface,0,5,"12,601"
2021,Kentucky Coal Terminal,Active,Underground,0,3,"6,785"
2021,Sturgeon Freeman Fork,Active,Surface,"19,087",5,"10,515"
2021,Manchester Complex,Active,Surface,0,15,"33,150"
2021,Joe's Run,Permanently abandoned,Surface,"2,32,710",23,"57,556"
2021,Joes Run Auger No. 26,Temporarily closed,Surface,"4,993",4,"4,854"
2021,Joes Run Processing,Permanently abandoned,Surface,0,5,"12,084"
2021,#1 Plant,Active,Underground,0,16,"31,723"
2021,No. 1,Active,Underground,"46,529",15,"27,585"
2021,#1,Active,Underground,"5,144",12,"2,441"
2021,No. 6,"Active, men working, not producing",Underground,"79,766",19,"47,202"
2021,Strip,"Active, men working, not producing",Surface,"9,063",6,"3,935"
2021,D-29 Darby Fork,Active,Underground,"3,92,630",76,"2,14,952"
2021,Moore Processing,Active,Surface,0,2,"4,902"
2021,Moore Processing,Active,Underground,0,28,"65,122"
2021,Totz Prep Plant,Active,Surface,0,14,"38,436"
2021,Totz Prep Plant,Active,Underground,0,0,388
2021,Prep Plant,"Active, men working, not producing",Surface,0,4,"9,796"
2021,Prep Plant,"Active, men working, not producing",Underground,0,4,"9,796"
2021,T-11 Coldiron,Temporarily closed,Surface,0,3,"2,950"
2021,T-11 Coldiron,Temporarily closed,Underground,0,2,"2,950"
2021,D-11 Panther,Active,Underground,"1,86,671",53,"1,56,510"
2021,D-21,Active,Underground,"1,23,806",26,"72,300"
2021,Right Fork Splint,Active,Surface,"1,33,008",29,"67,523"
2021,Highsplint Strip Job #26,Permanently abandoned,Surface,"19,517",6,"9,004"
2021,Putney Darby Mine #1,Active,Underground,"3,68,563",49,"1,08,138"
2021,Cranks Creek,Active,Surface,"1,68,531",30,"84,347"
2021,Magnum #1,Active,Underground,"2,80,552",48,"99,544"
2021,Magnum #2,Active,Underground,"6,402",6,"5,933"
2021,Bailey Creek,Temporarily closed,Surface,"8,144",9,"4,773"
2021,Kelly Branch,Active,Surface,"76,576",25,"63,452"
2021,Old House Mining #1,Active,Surface,"14,238",11,"6,980"
2021,Warrior Preparation Plant,Active,Underground,0,34,"80,146"
2021,Cardinal,Active,Underground,"41,41,430",416,"9,96,706"
2021,Job 5,Active,Surface,"4,39,887",33,"87,068"
2021,Surface #4,Active,Surface,"46,163",10,"24,893"
2021,Jf Aml Stabilization And Recla,"Active, men working, not producing",Surface,"84,039",19,"35,840"
2021,Supreme Energy Prep Plant,"Active, men working, not producing",Surface,0,3,"3,696"
2021,Supreme Energy Prep Plant,"Active, men working, not producing",Underground,0,2,"3,695"
2021,Pioneer Preparation Plant,Active,Surface,0,7,"17,560"
2021,#1,Active,Underground,"52,360",13,"27,120"
2021,Yellow Creek #21,"Active, men working, not producing",Surface,510,4,"3,138"
2021,Alum Cave,Temporarily closed,Surface,"4,000",2,500
2021,Alum Cave #17,Active,Surface,"2,59,956",42,"96,465"
2021,Highwall Miner #2,"Active, men working, not producing",Surface,"39,612",5,"9,019"
2021,Strip,"Active, men working, not producing",Surface,"10,644",2,"4,291"
2021,Strip #2,Active,Surface,"4,776",1,958
2021,Oam#40,Temporarily closed,Surface,180,2,115
2021,Mine #5,Active,Underground,"71,174",23,"65,059"
2021,Mountainside Wash Plant,Active,Surface,0,4,"5,719"
2021,Swan Pond,Temporarily closed,Surface,"7,868",5,"3,051"
2021,Remcoal Inc. #1,Permanently abandoned,Surface,"20,835",3,"3,840"
2021,Dredge #1,"Active, men working, not producing",Surface,"2,788",3,"4,591"
2021,Calvary No 81,Active,Underground,"3,24,003",112,"2,86,992"
2021,Stinnett,Permanently abandoned,Surface,"16,484",10,"16,084"
2021,Sapphire Prep Plant,"Active, men working, not producing",Surface,0,1,"1,437"
2021,Sapphire Prep Plant,"Active, men working, not producing",Underground,0,3,"5,748"
2021,#1,Active,Surface,352,3,360
2021,No. 4,Active,Surface,"11,437",4,"6,525"
2021,Shm-70,Active,Surface,"1,80,464",9,"10,617"
2021,Trace Fork,Active,Surface,"84,097",13,"33,489"
2021,Meadow Branch,Active,Surface,"2,30,215",34,"99,673"
2021,River Ridge P-1,Active,Surface,"1,61,836",14,"34,734"
2021,Hwm # 36,Active,Surface,"1,47,737",14,"28,942"
2021,Preparation Plant,"Active, men working, not producing",Surface,0,15,"8,202"
2021,Aldridge,Active,Surface,"41,602",18,"24,372"
2021,Mine # 1,Active,Surface,"9,821",6,"3,256"
2021,Advanced Restoration Technolog,"Active, men working, not producing",Surface,"6,389",5,"5,729"
2021,Parkway Refuse,Active,Underground,0,41,"99,989"
2021,Pride,Active,Underground,"20,69,342",214,"5,74,008"
2021,Courtland,Active,Surface,"4,277",5,"3,052"
2021,Preparation Plant,Active,Underground,0,27,"61,127"
2021,No. 77,Active,Underground,"2,59,917",55,"1,36,407"
2021,Kentucky River Loading,Active,Surface,0,9,"24,286"
2021,No. 76  Plant,Active,Underground,0,38,"84,364"
2021,Rowdy Gap Mine,Temporarily closed,Surface,"8,365",30,"12,053"
2021,Bear Branch 2,Active,Underground,"2,68,687",67,"1,62,036"
2021,Chavies Job #7,Active,Surface,"93,012",18,"31,644"
2021,East Mac & Nellie,Active,Surface,"9,00,772",106,"2,77,118"
2021,E4-2,Active,Underground,"75,792",59,"1,38,805"
2021,Liberty Management #8,"Active, men working, not producing",Surface,100,3,12
2021,#1,Active,Underground,"78,659",12,"25,560"
2021,Orchard Branch Mine No. 89,Permanently abandoned,Underground,"1,74,207",46,"1,19,723"
2021,Noble Mine #2,Active,Surface,"30,687",11,"17,628"
2021,Huff Preparation Plant,Active,Surface,0,7,"5,392"
2021,Huff Preparation Plant,Active,Underground,0,7,"5,391"
2021,Winifrede Surface Mine,Active,Surface,0,15,"30,661"
2021,Bevins Branch Preparation Plan,"Active, men working, not producing",Surface,0,5,"8,434"
2021,Bevins Branch Preparation Plan,"Active, men working, not producing",Underground,0,4,"8,433"
2021,Plant No. 1,Active,Surface,0,3,"4,992"
2021,Plant No. 1,Active,Underground,0,14,"26,208"
2021,Jamboree Loadout,Active,Surface,0,4,"11,816"
2021,Rob Fork Processing,Active,Surface,0,0,"1,036"
2021,Rob Fork Processing,Active,Underground,0,4,"10,479"
2021,# 5,Permanently abandoned,Underground,"40,276",21,"26,939"
2021,Patriot Fuels,"Active, men working, not producing",Surface,0,13,"29,203"
2021,Ce#2,Active,Surface,0,2,"3,814"
2021,Ce#2,Active,Underground,0,37,"91,546"
2021,Preparation Plant,Active,Underground,0,29,"63,509"
2021,Quality 2,Active,Underground,"2,593",10,"5,334"
2021,Blackberry #1,"Active, men working, not producing",Underground,"46,603",13,"21,233"
2021,No. 2,"Active, men working, not producing",Underground,"36,719",11,"23,753"
2021,Auger No. 29,Temporarily closed,Surface,"5,539",2,"1,775"
2021,Mine #28,Active,Underground,"1,00,969",18,"49,894"
2021,Mine No 5,Active,Underground,"82,993",18,"46,821"
2021,Job #49,Active,Surface,"66,500",26,"60,864"
2021,Grassy #1,"Active, men working, not producing",Underground,"36,698",15,"26,793"
2021,No 4,Active,Underground,"1,69,734",19,"36,632"
2021,Carnegie,Active,Underground,"20,740",17,"24,573"
2021,Persimmon Branch Surface Mine,Active,Surface,"1,31,819",36,"81,161"
2021,Beech Creek Surface Mine #2,"Active, men working, not producing",Surface,"36,856",14,"31,800"
2021,#1,Active,Underground,"25,942",10,"20,122"
2021,#6,Active,Underground,"44,380",21,"34,660"
2021,Phoenix,Active,Underground,"99,581",35,"52,929"
2021,Job #58,"Active, men working, not producing",Surface,"17,986",12,"19,729"
2021,No. 4,Active,Underground,"78,251",23,"53,828"
2021,Fedscreek Surface,Active,Surface,"36,474",5,"10,840"
2021,Excel #5,Active,Underground,"12,47,435",182,"4,06,537"
2021,Paw Paw 2,Active,Underground,"5,03,130",178,"3,94,619"
2021,Blackberry Mine,Active,Underground,"8,200",18,"5,880"
2021,Island Creek 1,Active,Surface,"69,860",8,"12,906"
2021,Glamorgan No. 1 Mine,"New, under construction",Surface,"1,797",2,20
2021,Tc-2,Active,Surface,"10,711",7,"5,271"
2021,#57 Miner,Active,Surface,"95,858",13,"31,376"
2021,River View Facilities,Active,Underground,0,63,"1,33,345"
2021,River View Mine,Active,Underground,"98,47,709",716,"17,21,009"
